epoch,loss,accuracy,emb,L1,L2,L3,L4,L5,L6,L7,L8,model
0,0.0,0.0,19.803572,19.815674,18.097948,18.132326,16.761805,21.61591,22.799007,29.281208,16.272451,bert_uncased_L-8_H-512_A-8
1,1.1072115171114083,0.3526306207900965,19.803225,19.816366,18.101084,18.140142,16.754847,21.622478,22.836935,29.155306,16.375484,bert_uncased_L-8_H-512_A-8
2,1.0819903619732554,0.3981430912069907,19.802588,19.819826,18.116032,18.163776,16.758383,21.647854,22.849703,29.113153,16.387241,bert_uncased_L-8_H-512_A-8
3,1.0329773675737846,0.4877116329874386,19.802881,19.825434,18.122316,18.153843,16.750402,21.720612,22.937876,28.622128,16.989788,bert_uncased_L-8_H-512_A-8
4,0.913281867462018,0.588203167667941,19.804237,19.824371,18.11336,18.157513,16.840487,21.969748,23.243187,27.426136,18.05528,bert_uncased_L-8_H-512_A-8
5,0.74702932704196,0.6834152557800838,19.80311,19.821072,18.087,18.115585,17.027132,22.073832,23.402752,26.791943,18.496775,bert_uncased_L-8_H-512_A-8
6,0.6292006409864879,0.746950664482068,19.802706,19.818916,18.101593,18.13561,17.035385,22.120935,23.478443,26.649498,18.593311,bert_uncased_L-8_H-512_A-8
7,0.5598354050202945,0.7777170944838886,19.801382,19.814638,18.059158,18.062904,16.97949,22.063875,23.433718,26.659687,18.528837,bert_uncased_L-8_H-512_A-8
8,0.4742990622380685,0.8150373202257418,19.801388,19.813576,18.05664,18.068644,17.055145,22.140951,23.545273,26.311995,18.592733,bert_uncased_L-8_H-512_A-8
9,0.4007897815612329,0.8503549972692518,19.801409,19.819263,18.06537,18.085564,17.066854,22.105347,23.491781,26.472559,18.604734,bert_uncased_L-8_H-512_A-8
10,0.3255799510372958,0.8869470234844348,19.80432,19.826601,18.073133,18.09522,17.06661,22.136143,23.5445,26.407368,18.638615,bert_uncased_L-8_H-512_A-8
11,0.2712778772825798,0.9056981612961952,19.802359,19.813713,18.050697,18.069286,17.078072,22.120228,23.508202,26.423288,18.638474,bert_uncased_L-8_H-512_A-8
12,0.2137400350994085,0.9293646459129802,19.800322,19.796032,18.05956,18.103025,17.103558,22.153536,23.58275,26.166664,18.664362,bert_uncased_L-8_H-512_A-8
13,0.1761987192772265,0.943200436919716,19.80469,19.788015,18.021677,18.0293,16.997879,22.077974,23.534773,26.239555,18.657833,bert_uncased_L-8_H-512_A-8
14,0.1344320928664691,0.9584926269797924,19.80176,19.790375,18.029413,18.053932,17.07791,22.15054,23.582813,26.169224,18.736757,bert_uncased_L-8_H-512_A-8
15,0.1232455316507141,0.9630438740214818,19.805803,19.796244,18.044046,18.070219,16.995245,22.080233,23.49483,26.28585,18.685524,bert_uncased_L-8_H-512_A-8
16,0.111568893292563,0.962133624613144,19.805655,19.776443,18.038948,18.059994,16.97392,22.060896,23.466951,26.393648,18.701302,bert_uncased_L-8_H-512_A-8
17,0.0920895940418855,0.970325869288185,19.807137,19.782997,18.057245,18.086891,17.016428,22.075165,23.50067,26.35213,18.760311,bert_uncased_L-8_H-512_A-8
18,0.0946457037502476,0.969051520116512,19.809914,19.779993,18.064583,18.057755,16.960648,22.007704,23.443428,26.472248,18.727701,bert_uncased_L-8_H-512_A-8
19,0.0768330305631293,0.972874567631531,19.811983,19.78771,18.071,18.086817,17.031868,22.050882,23.479267,26.294317,18.713266,bert_uncased_L-8_H-512_A-8
20,0.0819803531829796,0.9745130165665392,19.809578,19.782343,18.067995,18.050114,17.123123,22.159952,23.599928,26.183893,18.691916,bert_uncased_L-8_H-512_A-8
21,0.0680879911658927,0.9781540141998908,19.80954,19.784805,18.076395,18.04932,17.05739,22.178204,23.63179,26.08858,18.715889,bert_uncased_L-8_H-512_A-8
22,0.058350011824357,0.9814309120699072,19.81459,19.766836,18.065971,18.035051,17.017828,22.049265,23.443281,26.342747,18.698065,bert_uncased_L-8_H-512_A-8
23,0.0507939558108885,0.9812488621882396,19.814823,19.76161,18.014542,18.037458,17.030926,22.057636,23.454582,26.305773,18.709682,bert_uncased_L-8_H-512_A-8
