model,bert-medium,bert-medium,bert_small,bert_small,bert_tiny,bert_tiny
learning_rate,001,01,001,01,001,01
epoch,,,,,,
0,18.099218205241776,18.09794796843488,16.48363475417396,16.477736382282174,12.461404477312266,12.464791360935314
1,18.09879778252273,18.08891416806982,16.481259733384206,16.48396080568495,12.461178451287942,12.441056210378816
2,18.10086487594632,18.07655445864872,16.48059800500644,16.489910302821045,12.460496822558683,12.347184362295176
3,18.101492390172293,18.0739945391369,16.501941437712567,16.432855812682494,12.458091985983929,12.169479466647848
4,18.106511739650927,18.07841401002065,16.4963496473969,16.517267201824872,12.45524419287732,12.05580162702526
5,18.10185911529485,18.06689524238235,16.49000842540859,16.59756730151007,12.444249213936116,12.055517640071294
6,18.095988900717924,18.050656740725767,16.427946969676757,16.739220171097998,12.435663532472482,12.085113422609778
7,18.09667039047825,18.053801773546304,16.39948911962179,16.67403085049918,12.429122264702244,12.077803855686268
8,18.09099036878576,18.07258929022236,16.37412577422373,16.657486450817554,12.43455175319873,12.040517058026133
9,18.099078138452192,18.054187687850053,16.344326790564697,16.771006353778656,12.4173712252702,11.958218218784134
10,18.101576897181666,18.084698544940988,16.37326944764629,16.58699194399273,12.39831668735636,11.928931926044635
11,18.115976580288024,18.05630216905812,16.366008459761712,16.587577921216138,12.400048733626123,11.906377645479012
12,18.110581389324697,18.058590327675564,16.39333139221525,16.712511981746744,12.385541280110678,11.87722212192293
13,18.12517134869685,18.065863558791623,16.354753087778562,16.674318431310482,12.368802541374944,11.862810967898684
14,18.133941692081304,18.06579467478984,16.45402476826652,16.60655434214524,12.36542260842245,11.805598666102384
15,18.13733438238203,18.05523198848428,16.441403025920707,16.586473109052413,12.345248786912371,11.761987027456998
16,18.124735959023507,18.05066588266548,16.576827363672585,16.776936144770634,12.34078993389081,11.787091723778373
17,18.105577256944443,18.040284140653,16.567824497466095,16.618536920858258,12.310448971385297,11.706702482541925
18,18.097639948943925,18.03867700098643,16.57162581202328,16.545135421655704,12.282918398497534,11.74232063175398
19,18.10000645093796,18.028537212033623,16.574333538340305,16.481668166378125,12.239533651939071,11.76160276875825
20,18.096257235834507,18.036207323058715,16.593838995705973,16.58225428166121,12.240709961437789,11.736271608034247
21,18.10303860023373,18.02169992588223,16.573881986579824,16.503888768922344,12.165260551188595,11.733835824174394
22,18.118148400701028,18.0151108624222,16.64735907327065,16.446254032287097,12.125821556549909,11.75030772169062
23,18.112721788861496,17.99660764034819,16.578248321032916,16.422379448399525,12.101016810682951,11.727666840621865
24,18.10438104014579,18.016565689206363,16.697387639724926,16.51439173816658,12.086612284509211,11.686688652156633
