model,bert-medium,bert-medium,bert_small,bert_small
learning_rate,001,01,001,01
epoch,,,,
0,16.763726934492045,16.76179840237895,18.31297234151316,18.31349621030904
1,16.7520905930705,16.754620604668727,18.31505249801664,18.26797022698856
2,16.741346251552006,16.751649710382463,18.32857154887882,18.21292046061331
3,16.74571904806057,16.826857885766632,18.344257597931964,18.136166690456268
4,16.767301729685187,16.96734144543117,18.35393936907659,18.040892686606018
5,16.7491001900428,17.002421850110366,18.369301787273915,18.01184190228926
6,16.739018841519382,17.004231959727864,18.3800125816915,17.99616219509978
7,16.759234082720535,17.083483490595807,18.426682741481315,17.986315106555626
8,16.778454264656443,17.028427222637493,18.400721801868983,17.966435880884976
9,16.876244897616584,16.985130511453498,18.38005270202304,17.934024948989588
10,16.935522777786673,17.097654624951467,18.34434373087788,17.954512224765114
11,17.042068022847825,17.05375152760118,18.316016720075208,17.943135615539273
12,17.02082068716025,17.04585698903985,18.21753291006731,17.913721124526475
13,17.05717179206334,17.00001510878458,18.120011293171533,17.876856462390787
14,17.103043241796165,17.030973951477574,18.1049984235364,17.883721434091274
15,17.164448430629374,17.030964697034506,18.018884544164106,17.850168244469344
16,17.18789601977406,17.040120659381472,17.992363587537533,17.86570288760402
17,17.18290834131571,17.05131852993565,17.96352590758944,17.84752718225629
18,17.14080759128369,17.031626984870393,17.949791107455674,17.84763460768695
19,17.153488381529982,16.936597845277866,17.949830546839426,17.843754651527814
20,17.166651282805564,16.947113062110123,17.933808568179717,17.860920867003227
21,17.233479956677268,16.974376161090234,17.92940911742942,17.862988742652668
22,17.1349060809026,16.96013080785124,17.918703659418938,17.885771807829105
23,17.11991950418997,16.863766814502192,17.943599763463755,17.873874248321993
24,17.198819394971505,16.94545610290005,17.92754757295758,17.869965716309395
25,17.21758569046882,16.954334111112118,17.921496823837195,17.86498200357362
26,17.187477806661082,16.968839449893792,17.926358221224316,17.856263977917475
27,17.199716703487876,16.90178943066655,17.928303619551528,17.867364785850494
28,17.188102346951844,16.99848335331393,17.93087150142927,17.87591066469852
29,17.22553539449834,16.941650592019904,17.92989534193918,17.85026158475711
30,17.275357161280454,16.89634978625806,17.92862106628974,17.879779495525376
31,17.25184978769994,16.88201269972374,17.927134960292683,17.86307829671624
32,17.189606463322875,16.880355937741786,17.927372069089575,17.872422398015622
33,17.20562703839634,16.829245269569828,17.94062628685234,17.85144262697535
34,17.246641259810094,16.870619994183826,17.92983597441015,17.89595483279545
