model,bert-medium,bert-medium
learning_rate,001,01
epoch,,
0,16.263658881404577,16.272447617657736
1,16.188823359477283,16.22690434215413
2,16.056976485122096,16.281582287702104
3,16.041602963306865,17.513074726609613
4,16.033724022259044,18.548688052760955
5,16.111923801442966,18.69833132905125
6,16.215805526205315,18.64590369793489
7,16.553201838703536,18.704302837955872
8,16.857095464765482,18.72053729504721
9,17.526220005500946,18.71349689310721
10,17.834015059340846,18.73135800572577
11,18.416115752117665,18.75851956972893
12,18.38181995607248,18.750322541577685
13,18.447775738269687,18.75490728961994
14,18.54215147369329,18.756390354747484
15,18.55535873385292,18.796978783655227
16,18.579660189824896,18.72982810586609
17,18.603714725793168,18.77789748598269
18,18.576848097837686,18.77317535189273
19,18.61501473459824,18.73706552480145
20,18.653860151224883,18.740369317919185
21,18.627364945541967,18.735092739492043
22,18.640986069086907,18.76009778769837
23,18.62776992881233,18.77412170099036
24,18.62785158695853,18.7893023279962
25,18.65447991098428,18.75057309767208
26,18.670962696735543,18.74558847102012
27,18.67692162908057,18.75425036861101
28,18.67378667056669,18.770370859798568
29,18.680772235919,18.74154623640315
30,18.678963999930627,18.75686658702651
31,18.69149259139932,18.763545710120763
32,18.6927394067872,18.7807922307724
33,18.700488703715564,18.773011020595813
34,18.66215733317947,18.809447572723062
35,18.703999614889288,18.755608975854745
36,18.70736259363171,18.785506041002648
37,18.71224747676884,18.786576406304224
38,18.70916610467629,18.799642725718297
39,18.715224163562656,18.780503813825018
40,18.71825821673284,18.76313965215984
41,18.724361009719377,18.770733448405657
42,18.72975019722472,18.74415056140788
43,18.74161248823767,18.77185543608236
44,18.7135730180584,18.772531156263867
45,18.72919015241668,18.78515455272709
46,18.731435042695704,18.78269626680628
47,18.72945187261196,18.773883485542324
48,18.72860934564976,18.773538958585785
49,18.72881306021157,18.7508067532617
50,18.72898628498904,18.78958958518672
51,18.73325407657033,18.739056177311163
52,18.73555284510545,18.74263154242873
53,18.73740385573201,18.7731752588344
54,18.73587717080594,18.779628719633315
55,18.735283231474664,18.820333918695265
56,18.720867302899805,18.77301667354243
57,18.754407163526192,18.78295345226533
58,18.75285939701268,18.7882271097719
59,18.750414210807648,18.7576629955348
60,18.74052159599485,18.78895887468284
61,18.703631124861253,18.772118902284543
62,18.68161579125132,18.74526641001233
63,18.700912489482832,18.80519312621248
64,18.705573410284323,18.763971013100925
65,18.700211418999565,18.74995368889462
66,18.684766258698343,18.75335035561951
67,18.69614233909844,18.75554602119672
68,18.70008782002878,18.783183179959863
69,18.702607841005307,18.76889329761316
70,18.7060127883661,18.768362515093784
71,18.70922163666272,18.78190921135512
72,18.71248854618037,18.78681967190309
73,18.71497050356561,18.78678540837976
74,18.71790483262804,18.782726863553435
75,18.72010008320348,18.77517857144445
76,18.72224191412031,18.72745869621084
77,18.724356632197924,18.770377679446693
78,18.726708375691064,18.7683956480278
79,18.72839247072981,18.75152685393537
80,18.72973438255991,18.78423154460436
81,18.731387070619345,18.763545750399743
82,18.733215151371635,18.760739176298955
83,18.73495226305908,18.76265700580035
84,18.736448472097702,18.78446364875876
85,18.737897362213968,18.79688423222018
86,18.73916817753693,18.754165710527
87,18.740458031603985,18.78823596698088
88,18.74331603892731,18.777353961416093
89,18.74403870518308,18.761103712186426
90,18.745679344635843,18.765920253262674
91,18.74691344436618,18.758017383896977
92,18.74778855954363,18.77449127869508
93,18.74856035131792,18.78669831827866
94,18.74873352050781,18.784162142531542
95,18.749944704260766,18.775551888149725
96,18.75077130538301,18.7688733609066
97,18.751484049256817,18.776521419884183
98,18.7523045913335,18.768575643681448
99,18.752913511515967,18.757319535276785
100,18.75347300044826,18.77193726908199
101,18.75395871077296,18.75150361713025
102,18.754564087247587,18.756111229744285
103,18.75571898858187,18.771890078783688
104,18.756423366525784,18.77549594897901
105,18.757033287284585,18.777163239053184
106,18.757441063830544,18.76907215851069
107,18.75791355820953,18.7710973426073
108,18.758340109458604,18.77404481674964
109,18.75878651936849,18.75877738715129
110,18.759170726783072,18.72951054638165
111,18.75943457320305,18.736177145490743
112,18.75996143222941,18.74177949614762
113,18.76084092492832,18.75130844463444
114,18.761381514085446,18.765334116312275
115,18.76167398810604,18.77035734828392
116,18.76195082812144,18.734950690805075
117,18.762381242706912,18.74791214319823
118,18.762634027199667,18.74734864303503
119,18.76274548028553,18.75575128427169
120,18.7628612136146,18.760236390449084
121,18.763322882313545,18.7585360271649
122,18.7638159579918,18.758067635397826
123,18.764228487275336,18.75886968435235
124,18.76464777044912,18.76431845681124
125,18.76501046547256,18.75971658603537
126,18.76540905617191,18.756895083710944
127,18.7657122169036,18.75821799544413
128,18.7661051654642,18.75792410055536
129,18.766351682457984,18.74338230235143
130,18.766721117474777,18.742078750918694
131,18.767077447721,18.739446458412
132,18.767323255973217,18.746184669382124
133,18.76763212832813,18.749156065072256
134,18.76799230801386,18.73815125583973
135,18.76831713400252,18.746388454635177
136,18.76857465733596,18.745927903380046
137,18.768846966964084,18.75123138399956
138,18.76920080966637,18.750530090832047
139,18.76958458627725,18.745337423244376
140,18.76958334945373,18.748153044837604
141,18.77109071769784,18.747204809572533
142,18.77171246471301,18.74213856798301
143,18.772117614746094,18.75121185563853
144,18.76717907570316,18.74972412509387
145,18.77650257103648,18.74871094066676
146,18.77690958325329,18.74843721443592
147,18.77689517217473,18.748895315617872
148,18.77700056621503,18.74872778144752
149,18.77706617344924,18.751983712024643
150,18.777089631405467,18.75155847710208
151,18.778731007393592,18.753960958578407
152,18.780606782284373,18.75810463928078
153,18.78084377990612,18.75670460024406
154,18.781134864237355,18.756097962681373
155,18.778365532991447,18.75538208018924
156,18.77159195085258,18.75746887723713
157,18.77128038250032,18.757418420174595
158,18.763710341601207,18.75717247255118
159,18.76404686877419,18.75851516543072
160,18.76411557501565,18.75454938865285
161,18.76463827887085,18.75555939381834
162,18.765171599952684,18.75672358692224
163,18.76572088856515,18.754048086180617
164,18.766173857808763,18.752650088871544
165,18.768190449921377,18.7533359315776
166,18.768018378586067,18.75191606278196
167,18.76808002520563,18.75673629007942
168,18.7685619555753,18.75624606849369
169,18.76912779538792,18.75712463362239
170,18.76964248073557,18.753761179000545
171,18.76981738703716,18.753178122697708
172,18.769959357701147,18.752877484551984
173,18.76939824283232,18.75230777587001
174,18.76968393516888,18.752381286398865
175,18.7699004487696,18.752246628210408
176,18.77011919977018,18.753054018991143
177,18.770337922976967,18.753719605536663
178,18.770552477115707,18.757863245960056
179,18.770707705416097,18.759340516470093
180,18.770883250974784,18.75934476937489
181,18.77106477219768,18.759221942095337
182,18.77120535317232,18.759217303067896
183,18.77136226299682,18.75896341909634
184,18.771504692258297,18.75914611621956
185,18.77168007105426,18.75915710960345
186,18.77180253047978,18.75923713838253
187,18.771920570693165,18.75920458463248
188,18.77204981180271,18.759012103883723
189,18.772184278144213,18.758816546654195
190,18.772275316693527,18.75902367645158
191,18.77236471540941,18.75888359865681
192,18.77254711213659,18.75906899586068
193,18.77261409516326,18.759460011705684
194,18.772651102590647,18.75886724400169
195,18.772684482928835,18.75914544536619
196,18.772722129613324,18.759401594683183
197,18.77275166051201,18.75927208248176
198,18.77276293089264,18.759356925293503
199,18.772793545749018,18.759226542232728
200,18.77281869912625,18.759248385940683
