model,bert-medium,bert-medium,bert_small,bert_small,bert_tiny,bert_tiny
learning_rate,001,01,001,01,001,01
epoch,,,,,,
0,19.80352020263672,19.80352020263672,18.058996204035747,18.058996200908755,12.578866003206736,12.578866004770232
1,19.80347633014394,19.803567886005307,18.059020982196856,18.05902671848688,12.57882595235967,12.579520225698518
2,19.803379051889443,19.804182052959536,18.05937767376231,18.05967903102484,12.578663824251658,12.581313133413362
3,19.80321884850118,19.80439185922576,18.05963515540507,18.06187057564564,12.578393932683005,12.584284783277749
4,19.80293846477793,19.804651260028745,18.05988695321839,18.067779541015625,12.578360559293264,12.58453273790555
5,19.802474975585938,19.80513381888561,18.05995178222656,18.0715293891222,12.578110693148142,12.58245849609375
6,19.80308342327403,19.80505371232643,18.06086350182149,18.0715541843072,12.577684398991597,12.581304550518132
7,19.80338669518087,19.80401420627985,18.06130791057872,18.071985244403745,12.577811242887014,12.57949542981906
8,19.80283737877462,19.803091049541568,18.06176948199941,18.072189331054688,12.577870367220408,12.57754230481906
9,19.80304718017578,19.80426406790905,18.0623779296875,18.07197379961748,12.577549932650095,12.574440955942109
10,19.803014758723247,19.80504035914984,18.063631054265034,18.069469452598764,12.576810840266216,12.57034587877469
11,19.80364990234375,19.8059043891222,18.064050670964253,18.06874465872936,12.57678413043691,12.570333481182194
12,19.80419731487559,19.804025649677182,18.06415174307068,18.06884193385687,12.577205657958984,12.569933891470004
13,19.805774681772256,19.80503463814564,18.063585277897847,18.07103156869841,12.576409338167672,12.568572998046877
14,19.8073959350586,19.80803680419922,18.065185532978106,18.066205978740783,12.576574329035749,12.56496810913086
15,19.81038283606913,19.80681610107422,18.066127784048057,18.0681362155572,12.577102661132812,12.55652523058133
16,19.810592651367188,19.807861328125,18.066534045832626,18.06707191432562,12.576007843017578,12.554710388183594
17,19.81090355266856,19.80542945827093,18.068189624445903,18.055919647911264,12.57472513890223,12.54607200657282
18,19.810958862304688,19.804840087890625,18.0684814453125,18.05934524466686,12.573759089402165,12.544897079815009
19,19.812643054621685,19.809167861591245,18.067611694335938,18.05571937526312,12.574302673339844,12.53668403590765
20,19.811914440495503,19.81397247314453,18.06842613567637,18.05208015407172,12.572463044269057,12.532980919057891
21,19.812501889977515,19.812179565429688,18.068851491792607,18.0462627414361,12.573540678875476,12.543545724871205
22,19.81206894615743,19.811294555664062,18.06912421832753,18.044334411621094,12.57367420022822,12.54568576864829
23,19.81241989830587,19.8091049194336,18.06869506835937,18.04026413033314,12.57514381061269,12.54639625514593
24,19.81408881793691,19.811199186149025,18.06849670410156,18.04046058620062,12.576282501220703,12.547819137920476
